Date,Time,Venue,Home,Away,League
2019/06/07,19:00,gugulethu sports complex,Pride Basketball Club,Mavericks Basketball Club,M1
2019/06/07,20:30,gugulethu sports complex,CPUT Alumni,University of the Western Cape,MSL
2019/06/08,9:30,Heideveld High School,Cape Waves Basketball Club,Pride Basketball Club,B12
2019/06/08,9:30,Heideveld High School,Heideveld Basketball Club,Pride Basketball Club,G12
2019/06/08,10:45,Heideveld High School,Cape Waves Basketball Club,Spartans Basketball Club,B14
2019/06/08,10:45,Heideveld High School,Heideveld Basketball Club,Pride Basketball Club,G14
2019/06/08,12:00,Heideveld High School,Heideveld Basketball Club,Pinelands Basketball Club,B16
2019/06/08,12:00,Heideveld High School,Cape Waves Basketball Club,Spartans Basketball Club,G16
2019/06/08,13:15,Heideveld High School,Cape Waves Basketball Club,Wynberg Boys High School,B18
2019/06/08,13:15,Heideveld High School,Kraaifontein Basketball Club,Pride Basketball Club,G16
2019/06/08,14:30,Heideveld High School,Spartans Basketball Club,Kraaifontein Basketball Club,B16
2019/06/08,14:30,Heideveld High School,Heideveld Basketball Club,Spartans Basketball Club,G18
2019/06/08,15:45,Heideveld High School,Heideveld Basketball Club,Spartans Basketball Club,B18
2019/06/08,15:45,Heideveld High School,Pinelands Basketball Club,Kraaifontein Basketball Club,B18
2019/06/08,9:30,Monte Video Primary School,Montana Vikings Basketball Club,Langa Kings Basketball Club,B12
2019/06/08,10:45,Monte Video Primary School,Langa Kings Basketball Club,Delft Umoja Basketball Club,G12
2019/06/08,12:00,Monte Video Primary School,Montana Vikings Basketball Club,Delft Umoja Basketball Club,B12
2019/06/08,13:15,Monte Video Primary School,Montana Vikings Basketball Club,Delft Umoja Basketball Club,G14
2019/06/08,14:30,Monte Video Primary School,CNP Thunder,Langa Kings Basketball Club,B14
2019/06/08,15:45,Monte Video Primary School,Montana Vikings Basketball Club,Delft Umoja Basketball Club,B16
2019/06/09,13:00,Monte Video Primary School,Montana Vikings Basketball Club,Lethal Ladies Basketball Club,LSL
2019/06/09,14:30,Monte Video Primary School,Montana Vikings Basketball Club,University of the Western Cape,M1D
2019/06/09,16:00,Monte Video Primary School,Montana Vikings Basketball Club,Langa Kings Basketball Club,MSL
2019/06/09,13:00,gugulethu sports complex,Hurricanes Basketball Club,Mbekweni Shaq Squad Basketball Club,M1D
2019/06/09,14:30,gugulethu sports complex,Dragons Basketball Club,Gladiators Basketball Club,M1D
2019/06/09,16:00,gugulethu sports complex,Balling Wings Basketball Club,Heideveld Basketball Club,MSL