Name,Leagues,Seasons,Site URL,Abbreviation,Home
Balling Wings,CTBL,2019,,BWBC,
Cape Waves,CTBL,2019,,CWBC,
CPUT Cats,CTBL,2019,,CPUT,CPUT Bellville Campus
CPUT Alumni,CTBL,2019,,ALUM,
Delft Umoja Basketball Club,CTBL,2019,,DELFT,
Dragons Basketball Club,CTBL,2019,,DRAG,
Eagles Basketball Club,CTBL,2019,,EAGLES,Chinese Community Center
Gladiators Basketball Club,CTBL,2019,,GLADS,
Heideveld Basketball Club,CTBL,2019,,HBC,Heideveld High School
Houtbay Hurricanes,CTBL,2019,,HHBC,
Kraaifontein Basketball Club,CTBL,2019,,KBC,
Langa Kings Basketball Club,CTBL,2019,,LKBC,
Lethal Ladies Basketball Club,CTBL,2019,,LLBC,
Stellenbosch University,CTBL,2019,,MATIES,Stellenbosch University
Montana Vikings Basketball Club,CTBL,2019,http://mvbc.co.za,MVBC,Monte Video Primary School
Pinelands High School,CTBL,2019,,PHS,Pinelands High School
Pride Basketball Club,CTBL,2019,,PBC,
Pro 226 Africa,CTBL,2019,,P266,
Spartans Basketball Club,CTBL,2019,,SPAR,
UCT,CTBL,2019,,UCT,UCT
UWC,CTBL,2019,,UWC,
Wynberg Boys High School,CTBL,2019,,WBHS,
Western Cape Sports School,CTBL,2019,,WCSS,Western Cape Sports School